hrsrelax,mntlhlth,hrs1,degree,grass
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
3.0,0.0,40.0,BACHELOR,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
1.0,15.0,47.0,HIGH SCHOOL,NOT LEGAL
3.0,0.0,50.0,HIGH SCHOOL,
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
5.0,0.0,40.0,LT HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
2.0,0.0,40.0,HIGH SCHOOL,
0.0,0.0,39.0,LT HIGH SCHOOL,NOT LEGAL
12.0,0.0,15.0,HIGH SCHOOL,NOT LEGAL
4.0,0.0,43.0,HIGH SCHOOL,LEGAL
5.0,0.0,50.0,BACHELOR,LEGAL
6.0,2.0,30.0,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,LEGAL
,,,BACHELOR,NOT LEGAL
5.0,5.0,40.0,HIGH SCHOOL,
2.0,0.0,50.0,HIGH SCHOOL,LEGAL
2.0,0.0,40.0,GRADUATE,
2.0,3.0,40.0,GRADUATE,LEGAL
3.0,0.0,42.0,HIGH SCHOOL,
,,,LT HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,LEGAL
,,24.0,HIGH SCHOOL,
5.0,3.0,40.0,BACHELOR,NOT LEGAL
,,,LT HIGH SCHOOL,
6.0,1.0,40.0,BACHELOR,NOT LEGAL
,,,LT HIGH SCHOOL,LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,
3.0,0.0,50.0,HIGH SCHOOL,NOT LEGAL
1.0,0.0,40.0,HIGH SCHOOL,NOT LEGAL
6.0,0.0,28.0,HIGH SCHOOL,LEGAL
2.0,3.0,40.0,HIGH SCHOOL,LEGAL
1.0,0.0,50.0,HIGH SCHOOL,NOT LEGAL
,,,JUNIOR COLLEGE,
,,,BACHELOR,
2.0,20.0,15.0,BACHELOR,
2.0,0.0,40.0,HIGH SCHOOL,
,,,GRADUATE,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
,,,BACHELOR,NOT LEGAL
,,,LT HIGH SCHOOL,
,,,HIGH SCHOOL,
5.0,0.0,40.0,BACHELOR,NOT LEGAL
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,LEGAL
,,,BACHELOR,
5.0,0.0,49.0,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
4.0,0.0,80.0,LT HIGH SCHOOL,
5.0,7.0,48.0,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
0.0,0.0,42.0,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
3.0,4.0,35.0,HIGH SCHOOL,NOT LEGAL
,,,BACHELOR,
0.0,0.0,40.0,HIGH SCHOOL,NOT LEGAL
3.0,4.0,80.0,HIGH SCHOOL,NOT LEGAL
4.0,0.0,56.0,LT HIGH SCHOOL,NOT LEGAL
3.0,2.0,30.0,HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,
0.0,0.0,60.0,GRADUATE,
,,,JUNIOR COLLEGE,
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,LEGAL
6.0,2.0,25.0,JUNIOR COLLEGE,
5.0,0.0,40.0,JUNIOR COLLEGE,LEGAL
9.0,0.0,40.0,HIGH SCHOOL,NOT LEGAL
,,13.0,JUNIOR COLLEGE,
2.0,3.0,36.0,LT HIGH SCHOOL,LEGAL
2.0,1.0,40.0,HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
13.0,0.0,65.0,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
3.0,20.0,9.0,HIGH SCHOOL,
3.0,0.0,40.0,GRADUATE,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
3.0,0.0,70.0,LT HIGH SCHOOL,LEGAL
6.0,0.0,37.0,JUNIOR COLLEGE,NOT LEGAL
0.0,0.0,20.0,JUNIOR COLLEGE,NOT LEGAL
,,,JUNIOR COLLEGE,
,,,LT HIGH SCHOOL,NOT LEGAL
2.0,0.0,32.0,HIGH SCHOOL,
6.0,0.0,35.0,HIGH SCHOOL,
,,,LT HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
7.0,0.0,8.0,HIGH SCHOOL,
,,,LT HIGH SCHOOL,LEGAL
1.0,0.0,80.0,JUNIOR COLLEGE,NOT LEGAL
4.0,1.0,40.0,HIGH SCHOOL,LEGAL
4.0,0.0,56.0,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
1.0,0.0,45.0,JUNIOR COLLEGE,NOT LEGAL
4.0,0.0,55.0,LT HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
2.0,25.0,30.0,JUNIOR COLLEGE,
5.0,0.0,50.0,BACHELOR,LEGAL
7.0,0.0,25.0,HIGH SCHOOL,
,,,LT HIGH SCHOOL,NOT LEGAL
5.0,0.0,70.0,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
10.0,0.0,12.0,HIGH SCHOOL,LEGAL
3.0,2.0,10.0,HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
2.0,4.0,52.0,LT HIGH SCHOOL,LEGAL
3.0,4.0,50.0,HIGH SCHOOL,
4.0,0.0,80.0,HIGH SCHOOL,NOT LEGAL
3.0,0.0,55.0,BACHELOR,
8.0,0.0,55.0,GRADUATE,NOT LEGAL
10.0,30.0,70.0,LT HIGH SCHOOL,LEGAL
6.0,4.0,40.0,HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
4.0,30.0,9.0,HIGH SCHOOL,
8.0,0.0,40.0,HIGH SCHOOL,LEGAL
3.0,5.0,40.0,HIGH SCHOOL,LEGAL
5.0,0.0,40.0,BACHELOR,
,,,HIGH SCHOOL,NOT LEGAL
,,,BACHELOR,NOT LEGAL
4.0,0.0,50.0,JUNIOR COLLEGE,
0.0,0.0,40.0,JUNIOR COLLEGE,NOT LEGAL
8.0,0.0,9.0,HIGH SCHOOL,LEGAL
,,,LT HIGH SCHOOL,
2.0,15.0,45.0,GRADUATE,NOT LEGAL
2.0,0.0,24.0,HIGH SCHOOL,LEGAL
2.0,0.0,36.0,JUNIOR COLLEGE,NOT LEGAL
,30.0,9.0,LT HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
4.0,0.0,30.0,HIGH SCHOOL,NOT LEGAL
,,,JUNIOR COLLEGE,
,,,HIGH SCHOOL,
4.0,0.0,70.0,BACHELOR,LEGAL
4.0,0.0,4.0,LT HIGH SCHOOL,NOT LEGAL
0.0,0.0,70.0,LT HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
0.0,0.0,52.0,HIGH SCHOOL,NOT LEGAL
3.0,0.0,37.0,HIGH SCHOOL,NOT LEGAL
5.0,0.0,18.0,BACHELOR,
3.0,5.0,60.0,JUNIOR COLLEGE,NOT LEGAL
2.0,3.0,45.0,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
,,,LT HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,LEGAL
6.0,0.0,22.0,HIGH SCHOOL,
2.0,0.0,40.0,GRADUATE,NOT LEGAL
4.0,0.0,40.0,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
6.0,2.0,9.0,LT HIGH SCHOOL,LEGAL
3.0,0.0,35.0,LT HIGH SCHOOL,
4.0,0.0,45.0,HIGH SCHOOL,LEGAL
,,,JUNIOR COLLEGE,LEGAL
,,,HIGH SCHOOL,
,,,LT HIGH SCHOOL,NOT LEGAL
3.0,15.0,50.0,HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,
14.0,0.0,89.0,JUNIOR COLLEGE,
2.0,1.0,55.0,LT HIGH SCHOOL,NOT LEGAL
4.0,0.0,50.0,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
1.0,0.0,40.0,HIGH SCHOOL,
6.0,10.0,20.0,HIGH SCHOOL,NOT LEGAL
3.0,0.0,60.0,JUNIOR COLLEGE,NOT LEGAL
,,,HIGH SCHOOL,
2.0,0.0,80.0,HIGH SCHOOL,
5.0,0.0,35.0,HIGH SCHOOL,LEGAL
4.0,0.0,35.0,LT HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
4.0,0.0,50.0,BACHELOR,LEGAL
,,,JUNIOR COLLEGE,
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
12.0,0.0,84.0,HIGH SCHOOL,LEGAL
1.0,4.0,16.0,BACHELOR,NOT LEGAL
1.0,10.0,,HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
,,,GRADUATE,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
2.0,0.0,60.0,HIGH SCHOOL,LEGAL
4.0,4.0,32.0,BACHELOR,
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
3.0,0.0,33.0,LT HIGH SCHOOL,
4.0,26.0,60.0,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,
,,,LT HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
4.0,0.0,40.0,BACHELOR,
6.0,10.0,40.0,BACHELOR,
6.0,0.0,40.0,BACHELOR,NOT LEGAL
6.0,2.0,40.0,HIGH SCHOOL,NOT LEGAL
,,,GRADUATE,
,,,BACHELOR,NOT LEGAL
,,,HIGH SCHOOL,
,,,BACHELOR,LEGAL
,,,GRADUATE,
,,,BACHELOR,LEGAL
3.0,1.0,40.0,BACHELOR,LEGAL
,,,GRADUATE,LEGAL
4.0,2.0,46.0,JUNIOR COLLEGE,
6.0,2.0,40.0,GRADUATE,LEGAL
7.0,0.0,25.0,LT HIGH SCHOOL,
,,,LT HIGH SCHOOL,LEGAL
4.0,0.0,40.0,HIGH SCHOOL,NOT LEGAL
0.0,,50.0,JUNIOR COLLEGE,
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
4.0,3.0,40.0,LT HIGH SCHOOL,NOT LEGAL
2.0,0.0,43.0,LT HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
2.0,15.0,35.0,HIGH SCHOOL,NOT LEGAL
6.0,5.0,24.0,LT HIGH SCHOOL,
6.0,5.0,16.0,BACHELOR,LEGAL
4.0,5.0,50.0,LT HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,
,,,JUNIOR COLLEGE,
8.0,3.0,20.0,HIGH SCHOOL,
7.0,0.0,50.0,LT HIGH SCHOOL,
5.0,0.0,10.0,BACHELOR,LEGAL
5.0,2.0,40.0,HIGH SCHOOL,NOT LEGAL
,0.0,38.0,HIGH SCHOOL,
,,,HIGH SCHOOL,LEGAL
,,40.0,HIGH SCHOOL,LEGAL
6.0,0.0,38.0,LT HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
,,,BACHELOR,
,,,HIGH SCHOOL,NOT LEGAL
3.0,0.0,40.0,HIGH SCHOOL,LEGAL
5.0,1.0,49.0,BACHELOR,LEGAL
6.0,0.0,40.0,HIGH SCHOOL,LEGAL
